magnitude,date_time,cdi,mmi,alert,tsunami,sig,magType,depth,latitude,longitude
7.3,14-12-2021 03:20,9,5,green,1,854,mww,14.27,-7.6033,122.2
7.5,28-11-2021 10:52,8,8,yellow,1,1094,mww,126,-4.4898,-76.8461
6.6,10-11-2021 15:45,7,4,green,1,688,mww,12,23.5414,126.48
6.9,11-10-2021 09:10,8,6,green,1,995,mww,51.6,56.2581,-156.492
6.9,09-10-2021 10:58,4,3,green,1,740,mww,535,-21.1704,174.54
7.3,02-10-2021 06:29,4,4,green,1,826,mww,527,-21.1036,174.895
6.5,22-09-2021 09:57,7,5,green,1,684,mww,21,12.1598,-87.8542
7,08-09-2021 01:47,8,8,red,1,2504,mww,20,16.9502,-99.7877
7.1,22-08-2021 21:33,1,4,green,1,776,mww,6,-60.3026,-24.9992
6.6,22-08-2021 00:45,1,3,green,1,670,mww,7,-60.1023,-24.4608
6.9,18-08-2021 10:10,8,7,green,1,741,mww,93,-14.892,167.085
6.9,16-08-2021 11:10,6,4,green,1,734,mww,16.7,-58.3814,-23.3318
7.2,14-08-2021 12:29,9,8,red,1,2331,mww,10,18.3521,-73.4804
6.9,14-08-2021 11:57,5,4,green,1,738,mww,33.3,55.2364,-157.707
6.9,14-08-2021 11:57,5,4,green,1,738,mww,20.74,55.2657,-157.68
8.1,12-08-2021 18:35,0,7,green,0,1009,mww,22.79,-58.4157,-25.3206
7.5,12-08-2021 18:32,9,6,green,1,868,mww,47.23,-57.5959,-25.1874
7.1,11-08-2021 17:46,9,7,green,1,846,mww,55.14,6.4547,126.742
8.2,29-07-2021 06:15,8,6,green,1,1237,mww,46.66,55.4742,-157.917
8.2,29-07-2021 06:15,8,7,yellow,1,1252,mww,35,55.3154,-157.829
6.7,23-07-2021 20:48,8,5,green,1,935,mww,110,13.6989,120.713
6.7,21-07-2021 21:15,6,6,green,1,830,mww,10,7.5904,-82.8813
6.5,20-06-2021 17:05,0,4,green,1,650,mww,25,-30.2144,-177.773
6.5,21-05-2021 22:13,5,7,green,1,652,mww,10,-16.4796,-177.356
7.3,21-05-2021 18:04,9,9,orange,0,1025,mww,10,34.5861,98.2551
6.7,14-05-2021 06:33,8,4,green,0,698,mww,11,0.1684,96.6475
6.7,12-05-2021 14:05,9,3,green,0,694,mww,10,-17.2495,66.3745
6.9,01-05-2021 01:27,7,6,green,1,919,mww,43,38.2296,141.665
6.5,25-04-2021 22:28,4,4,green,0,651,mww,246,-21.6857,-177.064
6.5,24-04-2021 00:23,6,4,green,0,652,mww,301,-18.9204,-176.235
7,20-03-2021 09:09,7,7,yellow,1,1052,mww,43,38.4752,141.607
6.6,16-03-2021 18:38,5,5,green,1,672,mww,13.23,54.7018,163.208
6.5,04-03-2021 23:12,0,4,green,0,650,mwb,24,-28.4792,-176.619
8.1,04-03-2021 19:28,9,8,green,1,1021,mww,28.93,-29.7466,-177.224
7.4,04-03-2021 17:41,3,7,green,1,843,mww,43,-29.6131,-177.842
7.3,04-03-2021 13:27,7,6,green,1,932,mww,10,-37.596,179.544
7.1,13-02-2021 14:07,9,8,orange,1,1612,mww,43.98,37.6856,141.992
7.7,10-02-2021 13:19,9,4,green,1,918,mww,10,-23.2787,171.489
6.9,23-01-2021 23:36,9,5,green,1,739,mww,15,-61.8484,-55.559
7,21-01-2021 12:23,7,5,green,1,802,mww,80,5.0074,127.517
6.7,11-01-2021 21:32,8,8,green,0,776,mww,10,51.2407,100.443
6.7,27-12-2020 21:39,5,5,green,1,776,mww,10,-39.3264,-74.9067
7,30-10-2020 11:51,8,7,orange,0,1527,mww,21,37.8973,26.7953
7.6,19-10-2020 20:54,9,7,yellow,1,1165,mww,28.37,54.662,-159.675
6.9,18-09-2020 21:43,0,3,green,1,732,mww,10,0.9604,-26.8332
6.5,01-09-2020 21:09,6,6,green,0,674,mww,16,-27.9285,-71.3937
6.8,01-09-2020 04:09,6,7,green,1,824,mww,21,-28.013,-71.1958
6.5,30-08-2020 21:20,4,5,green,0,651,mww,10,0.8696,-29.7046
6.9,21-08-2020 04:09,4,3,green,0,749,mww,624,-6.6704,123.493
6.9,18-08-2020 22:29,4,4,green,0,735,mww,26,-4.2791,101.215
6.8,18-08-2020 22:23,5,4,green,0,716,mww,22,-4.3724,101.095
6.6,18-08-2020 00:03,9,8,yellow,1,784,mww,10,12.0065,124.13
7.8,22-07-2020 06:12,9,7,green,1,1111,mww,28,55.1079,-158.477
7,17-07-2020 02:50,6,7,green,1,820,mww,73,-7.847,147.755
6.6,06-07-2020 22:54,4,2,green,0,684,mww,533.76,-5.6368,110.678
7.4,23-06-2020 15:29,8,8,orange,1,1494,mww,20,15.9163,-95.9533
7.4,18-06-2020 12:49,7,7,green,1,873,mww,10,-33.2938,-177.838
6.6,13-06-2020 15:51,5,4,green,1,734,mww,165,28.9386,128.262
6.8,03-06-2020 07:35,6,6,green,1,835,mww,112,-23.2966,-68.4204
6.5,15-05-2020 11:03,7,8,green,0,1320,ml,2.7,38.1689,-117.85
6.6,12-05-2020 22:41,4,6,green,1,671,mww,107,-12.0662,166.648
6.8,06-05-2020 13:53,4,6,green,0,738,mww,96,-6.7762,129.785
6.5,02-05-2020 12:51,7,6,green,0,678,mww,10,34.1818,25.7101
6.5,31-03-2020 23:52,8,8,green,0,1410,mww,12.06,44.4646,-115.118
7.5,25-03-2020 02:49,6,5,green,1,879,mww,57.8,48.9638,157.695
7,13-02-2020 10:33,5,6,yellow,1,770,mww,143,45.6161,148.959
7.7,28-01-2020 19:10,9,6,yellow,1,1812,mww,14.86,19.4193,-78.756
6.7,24-01-2020 17:55,8,9,orange,0,1247,mww,10,38.4312,39.0609
6.8,15-12-2019 06:11,9,7,yellow,1,825,mww,18,6.6969,125.174
7.1,14-11-2019 16:17,6,6,green,1,799,mww,33,1.6213,126.416
6.5,08-11-2019 10:44,0,2,green,0,650,mww,577,-21.9449,-179.511
6.6,04-11-2019 22:43,4,4,green,1,673,mww,10,-18.5747,-175.272
